source_file,output_file,original_duration_sec,output_duration_sec,cropped,crop_start_sec,crop_end_sec,strategy
Новосибирский государственный университет 23.m4a,stop_040.wav,1.451,1.000,yes,0.070,1.070,speech_span
"Золотая Долина, Ресторан 22.m4a",stop_041.wav,0.683,0.683,no,0.000,0.683,format_only
"Золотая Долина, Ресторан 18.m4a",stop_042.wav,1.280,1.000,yes,0.220,1.220,energy_window
Новосибирский государственный университет 55.m4a,stop_043.wav,0.939,0.939,no,0.000,0.939,format_only
"RED RABBIT, бар 19.m4a",stop_044.wav,1.195,1.000,yes,0.195,1.195,speech_span
"RED RABBIT, бар 23.m4a",stop_045.wav,0.597,0.597,no,0.000,0.597,format_only
Золотая Долина 25.m4a,stop_046.wav,1.280,1.000,yes,0.120,1.120,energy_window
Новосибирский государственный университет 57.m4a,stop_047.wav,0.939,0.939,no,0.000,0.939,format_only
"Золотая Долина, Ресторан 6.m4a",stop_048.wav,0.853,0.853,no,0.000,0.853,format_only
"Золотая Долина, Ресторан.m4a",stop_049.wav,0.853,0.853,no,0.000,0.853,format_only
Новосибирский государственный университет 13.m4a,stop_050.wav,1.707,1.000,yes,0.130,1.130,energy_window
Новосибирский государственный университет 10.m4a,stop_051.wav,1.109,1.000,yes,0.000,1.000,speech_span
Новосибирский государственный университет 40.m4a,stop_052.wav,1.109,1.000,yes,0.000,1.000,speech_span
Новосибирский государственный университет 100.m4a,stop_053.wav,0.939,0.939,no,0.000,0.939,format_only
Новосибирский государственный университет 131.m4a,stop_054.wav,1.451,1.000,yes,0.290,1.290,speech_span
Новосибирский государственный университет 15.m4a,stop_055.wav,1.451,1.000,yes,0.060,1.060,energy_window
"RED RABBIT, бар 27.m4a",stop_056.wav,1.365,1.000,yes,0.030,1.030,speech_span
Новосибирский государственный университет 16.m4a,stop_057.wav,2.389,1.000,yes,0.870,1.870,speech_span
Новосибирский государственный университет 7.m4a,stop_058.wav,1.451,1.000,yes,0.451,1.451,energy_window
Новосибирский государственный университет 105.m4a,stop_059.wav,1.024,1.000,yes,0.024,1.024,speech_span
"RED RABBIT, бар 10.m4a",stop_060.wav,1.280,1.000,yes,0.280,1.280,energy_window
Новосибирский государственный университет 77.m4a,stop_061.wav,0.768,0.768,no,0.000,0.768,format_only
"RED RABBIT, бар 2.m4a",stop_062.wav,1.280,1.000,yes,0.000,1.000,speech_span
Новосибирский государственный университет 121.m4a,stop_063.wav,0.512,0.512,no,0.000,0.512,format_only
Золотая Долина 24.m4a,stop_064.wav,1.109,1.000,yes,0.000,1.000,speech_span
улица Ильича 2.m4a,stop_065.wav,1.024,1.000,yes,0.000,1.000,speech_span
Новосибирский государственный университет 2.m4a,stop_066.wav,0.939,0.939,no,0.000,0.939,format_only
Новосибирский государственный университет 62.m4a,stop_067.wav,0.939,0.939,no,0.000,0.939,format_only
Золотая Долина.m4a,stop_068.wav,1.877,1.000,yes,0.290,1.290,speech_span
Новосибирский государственный университет 65.m4a,stop_069.wav,0.939,0.939,no,0.000,0.939,format_only
Золотая Долина 2.m4a,stop_070.wav,1.024,1.000,yes,0.000,1.000,speech_span
Новосибирский государственный университет 49.m4a,stop_071.wav,0.853,0.853,no,0.000,0.853,format_only
Новосибирский государственный университет 31.m4a,stop_072.wav,1.792,1.000,yes,0.030,1.030,energy_window
Золотая Долина 4.m4a,stop_073.wav,0.939,0.939,no,0.000,0.939,format_only
Новосибирский государственный университет 68.m4a,stop_074.wav,1.365,1.000,yes,0.275,1.275,speech_span
Новосибирский государственный университет 143.m4a,stop_075.wav,1.024,1.000,yes,0.024,1.024,speech_span
Новосибирский государственный университет 141.m4a,stop_076.wav,0.597,0.597,no,0.000,0.597,format_only
Новосибирский государственный университет 33.m4a,stop_077.wav,0.683,0.683,no,0.000,0.683,format_only
"RED RABBIT, бар 5.m4a",stop_078.wav,0.939,0.939,no,0.000,0.939,format_only
"RED RABBIT, бар 25.m4a",stop_079.wav,0.597,0.597,no,0.000,0.597,format_only
Пирогова улица 3.m4a,stop_080.wav,0.768,0.768,no,0.000,0.768,format_only
Новосибирский государственный университет 36.m4a,stop_081.wav,1.109,1.000,yes,0.000,1.000,speech_span
Новосибирский государственный университет 119.m4a,stop_082.wav,0.853,0.853,no,0.000,0.853,format_only
"Золотая Долина, Ресторан 21.m4a",stop_083.wav,0.853,0.853,no,0.000,0.853,format_only
Новосибирский государственный университет 46.m4a,stop_084.wav,0.768,0.768,no,0.000,0.768,format_only
Новосибирский государственный университет 139.m4a,stop_085.wav,0.939,0.939,no,0.000,0.939,format_only
Золотая Долина 34.m4a,stop_086.wav,0.853,0.853,no,0.000,0.853,format_only
Новосибирский государственный университет 128.m4a,stop_087.wav,0.597,0.597,no,0.000,0.597,format_only
Новосибирский государственный университет 109.m4a,stop_088.wav,1.024,1.000,yes,0.024,1.024,speech_span
"Золотая Долина, Ресторан 10.m4a",stop_089.wav,0.512,0.512,no,0.000,0.512,format_only
Новосибирский государственный университет 34.m4a,stop_090.wav,0.939,0.939,no,0.000,0.939,format_only
Новосибирский государственный университет 114.m4a,stop_091.wav,0.683,0.683,no,0.000,0.683,format_only
Новосибирский государственный университет 21.m4a,stop_092.wav,0.939,0.939,no,0.000,0.939,format_only
Новосибирский государственный университет 140.m4a,stop_093.wav,0.427,0.427,no,0.000,0.427,format_only
Новосибирский государственный университет 45.m4a,stop_094.wav,0.853,0.853,no,0.000,0.853,format_only
Новосибирский государственный университет 37.m4a,stop_095.wav,0.683,0.683,no,0.000,0.683,format_only
Золотая Долина 20.m4a,stop_096.wav,0.853,0.853,no,0.000,0.853,format_only
Новосибирский государственный университет 20.m4a,stop_097.wav,1.792,1.000,yes,0.700,1.700,energy_window
Новосибирский государственный университет 95.m4a,stop_098.wav,1.109,1.000,yes,0.060,1.060,energy_window
Новосибирский государственный университет 102.m4a,stop_099.wav,1.365,1.000,yes,0.250,1.250,speech_span
Новосибирский государственный университет 78.m4a,stop_100.wav,0.853,0.853,no,0.000,0.853,format_only
"Золотая Долина, Ресторан 2.m4a",stop_101.wav,1.195,1.000,yes,0.055,1.055,speech_span
Новосибирский государственный университет 103.m4a,stop_102.wav,0.597,0.597,no,0.000,0.597,format_only
Новосибирский государственный университет 125.m4a,stop_103.wav,0.768,0.768,no,0.000,0.768,format_only
Новосибирский государственный университет 129.m4a,stop_104.wav,1.109,1.000,yes,0.000,1.000,speech_span
Новосибирский государственный университет 52.m4a,stop_105.wav,1.451,1.000,yes,0.300,1.300,speech_span
"Золотая Долина, Ресторан 5.m4a",stop_106.wav,0.939,0.939,no,0.000,0.939,format_only
Золотая Долина 15.m4a,stop_107.wav,0.683,0.683,no,0.000,0.683,format_only
Новосибирский государственный университет 93.m4a,stop_108.wav,1.365,1.000,yes,0.010,1.010,energy_window
Золотая Долина 21.m4a,stop_109.wav,0.768,0.768,no,0.000,0.768,format_only
Золотая Долина 7.m4a,stop_110.wav,1.109,1.000,yes,0.000,1.000,speech_span
Новосибирский государственный университет 64.m4a,stop_111.wav,2.731,1.000,yes,1.500,2.500,energy_window
Новосибирский государственный университет 122.m4a,stop_112.wav,0.597,0.597,no,0.000,0.597,format_only
"RED RABBIT, бар 14.m4a",stop_113.wav,0.768,0.768,no,0.000,0.768,format_only
Новосибирский государственный университет 124.m4a,stop_114.wav,0.853,0.853,no,0.000,0.853,format_only
Золотая Долина 17.m4a,stop_115.wav,1.109,1.000,yes,0.000,1.000,speech_span
Новосибирский государственный университет 92.m4a,stop_116.wav,1.195,1.000,yes,0.000,1.000,energy_window
Новосибирский государственный университет 118.m4a,stop_117.wav,0.683,0.683,no,0.000,0.683,format_only
Новосибирский государственный университет 117.m4a,stop_118.wav,0.939,0.939,no,0.000,0.939,format_only
Новосибирский государственный университет 70.m4a,stop_119.wav,1.024,1.000,yes,0.024,1.024,energy_window
Новосибирский государственный университет 18.m4a,stop_120.wav,3.328,1.000,yes,1.350,2.350,energy_window
Новосибирский государственный университет 99.m4a,stop_121.wav,0.853,0.853,no,0.000,0.853,format_only
улица Ильича 6.m4a,stop_122.wav,0.939,0.939,no,0.000,0.939,format_only
Новосибирский государственный университет 5.m4a,stop_123.wav,2.219,1.000,yes,1.150,2.150,energy_window
улица Ильича.m4a,stop_124.wav,1.195,1.000,yes,0.000,1.000,speech_span
Новосибирский государственный университет 101.m4a,stop_125.wav,0.853,0.853,no,0.000,0.853,format_only
Новосибирский государственный университет 81.m4a,stop_126.wav,1.280,1.000,yes,0.150,1.150,speech_span
Новосибирский государственный университет 144.m4a,stop_127.wav,1.451,1.000,yes,0.451,1.451,speech_span
"Золотая Долина, Ресторан 25.m4a",stop_128.wav,0.853,0.853,no,0.000,0.853,format_only
Новосибирский государственный университет 29.m4a,stop_129.wav,0.939,0.939,no,0.000,0.939,format_only
Новосибирский государственный университет 136.m4a,stop_130.wav,0.683,0.683,no,0.000,0.683,format_only
Новосибирский государственный университет 25.m4a,stop_131.wav,1.195,1.000,yes,0.010,1.010,speech_span
тропинка Ю. А. Дядина.m4a,stop_132.wav,1.024,1.000,yes,0.000,1.000,speech_span
Золотая Долина 31.m4a,stop_133.wav,1.195,1.000,yes,0.195,1.195,speech_span
"RED RABBIT, бар 4.m4a",stop_134.wav,0.939,0.939,no,0.000,0.939,format_only
"Золотая Долина, Ресторан 24.m4a",stop_135.wav,1.024,1.000,yes,0.024,1.024,speech_span
Золотая Долина 9.m4a,stop_136.wav,0.939,0.939,no,0.000,0.939,format_only
Новосибирский государственный университет 11.m4a,stop_137.wav,1.195,1.000,yes,0.020,1.020,energy_window
Новосибирский государственный университет 113.m4a,stop_138.wav,0.597,0.597,no,0.000,0.597,format_only
Золотая Долина 29.m4a,stop_139.wav,0.853,0.853,no,0.000,0.853,format_only
Новосибирский государственный университет 112.m4a,stop_140.wav,1.792,1.000,yes,0.515,1.515,speech_span
Новосибирский государственный университет 134.m4a,stop_141.wav,1.280,1.000,yes,0.250,1.250,speech_span
Новосибирский государственный университет 6.m4a,stop_142.wav,1.024,1.000,yes,0.000,1.000,speech_span
Новосибирский государственный университет 75.m4a,stop_143.wav,1.109,1.000,yes,0.000,1.000,speech_span
Золотая Долина 10.m4a,stop_144.wav,0.853,0.853,no,0.000,0.853,format_only
Новосибирский государственный университет 85.m4a,stop_145.wav,0.683,0.683,no,0.000,0.683,format_only
Новосибирский государственный университет 43.m4a,stop_146.wav,0.939,0.939,no,0.000,0.939,format_only
"Золотая Долина, Ресторан 7.m4a",stop_147.wav,1.877,1.000,yes,0.000,1.000,speech_span
"Золотая Долина, Ресторан 14.m4a",stop_148.wav,3.072,1.000,yes,0.680,1.680,energy_window
Новосибирский государственный университет 48.m4a,stop_149.wav,0.853,0.853,no,0.000,0.853,format_only
"RED RABBIT, бар 3.m4a",stop_150.wav,5.120,1.000,yes,0.450,1.450,energy_window
Золотая Долина 5.m4a,stop_151.wav,1.024,1.000,yes,0.000,1.000,speech_span
Новосибирский государственный университет 35.m4a,stop_152.wav,0.597,0.597,no,0.000,0.597,format_only
Новосибирский государственный университет 111.m4a,stop_153.wav,1.536,1.000,yes,0.536,1.536,speech_span
"Золотая Долина, Ресторан 8.m4a",stop_154.wav,1.024,1.000,yes,0.000,1.000,speech_span
Новосибирский государственный университет 28.m4a,stop_155.wav,0.939,0.939,no,0.000,0.939,format_only
"RED RABBIT, бар 6.m4a",stop_156.wav,0.939,0.939,no,0.000,0.939,format_only
Новосибирский государственный университет 115.m4a,stop_157.wav,0.768,0.768,no,0.000,0.768,format_only
Золотая Долина 19.m4a,stop_158.wav,1.365,1.000,yes,0.000,1.000,speech_span
Новосибирский государственный университет 24.m4a,stop_159.wav,2.816,1.000,yes,0.780,1.780,energy_window
Новосибирский государственный университет 135.m4a,stop_160.wav,0.768,0.768,no,0.000,0.768,format_only
"RED RABBIT, бар 21.m4a",stop_161.wav,0.683,0.683,no,0.000,0.683,format_only
"Золотая Долина, Ресторан 23.m4a",stop_162.wav,0.768,0.768,no,0.000,0.768,format_only
Новосибирский государственный университет 98.m4a,stop_163.wav,1.024,1.000,yes,0.000,1.000,speech_span
Новосибирский государственный университет 108.m4a,stop_164.wav,0.768,0.768,no,0.000,0.768,format_only
Новосибирский государственный университет 110.m4a,stop_165.wav,1.280,1.000,yes,0.280,1.280,speech_span
"RED RABBIT, бар.m4a",stop_166.wav,1.963,1.000,yes,0.735,1.735,speech_span
Новосибирский государственный университет 116.m4a,stop_167.wav,0.683,0.683,no,0.000,0.683,format_only
Новосибирский государственный университет 9.m4a,stop_168.wav,1.536,1.000,yes,0.030,1.030,energy_window
Пирогова улица 2.m4a,stop_169.wav,0.768,0.768,no,0.000,0.768,format_only
Новосибирский государственный университет 106-2.m4a,stop_170.wav,1.621,1.000,yes,0.620,1.620,speech_span
Новосибирский государственный университет 87.m4a,stop_171.wav,0.768,0.768,no,0.000,0.768,format_only
Золотая Долина 27.m4a,stop_172.wav,1.536,1.000,yes,0.090,1.090,energy_window
Новосибирский государственный университет 67.m4a,stop_173.wav,0.939,0.939,no,0.000,0.939,format_only
Новосибирский государственный университет 106.m4a,stop_174.wav,0.939,0.939,no,0.000,0.939,format_only
Новосибирский государственный университет 94.m4a,stop_175.wav,1.536,1.000,yes,0.040,1.040,energy_window
Золотая Долина 28.m4a,stop_176.wav,1.024,1.000,yes,0.000,1.000,speech_span
"RED RABBIT, бар 11.m4a",stop_177.wav,0.768,0.768,no,0.000,0.768,format_only
"Золотая Долина, Ресторан 4.m4a",stop_178.wav,1.365,1.000,yes,0.110,1.110,energy_window
Новосибирский государственный университет 38.m4a,stop_179.wav,1.024,1.000,yes,0.000,1.000,speech_span
Новосибирский государственный университет 132.m4a,stop_180.wav,1.195,1.000,yes,0.000,1.000,speech_span
"Золотая Долина, Ресторан 12.m4a",stop_181.wav,2.133,1.000,yes,0.890,1.890,speech_span
Новосибирский государственный университет 126.m4a,stop_182.wav,0.683,0.683,no,0.000,0.683,format_only
Новосибирский государственный университет 97.m4a,stop_183.wav,0.768,0.768,no,0.000,0.768,format_only
Новосибирский государственный университет 69.m4a,stop_184.wav,1.195,1.000,yes,0.000,1.000,speech_span
Новосибирский государственный университет 54.m4a,stop_185.wav,1.280,1.000,yes,0.275,1.275,speech_span
Новосибирский государственный университет 74.m4a,stop_186.wav,0.768,0.768,no,0.000,0.768,format_only
Золотая Долина 6.m4a,stop_187.wav,1.024,1.000,yes,0.024,1.024,speech_span
Новосибирский государственный университет 30.m4a,stop_188.wav,1.024,1.000,yes,0.000,1.000,speech_span
улица Ильича 4.m4a,stop_189.wav,0.939,0.939,no,0.000,0.939,format_only
Новосибирский государственный университет 41.m4a,stop_190.wav,1.280,1.000,yes,0.010,1.010,energy_window
Новосибирский государственный университет 17.m4a,stop_191.wav,3.413,1.000,yes,1.560,2.560,energy_window
"Золотая Долина, Ресторан 15.m4a",stop_192.wav,1.365,1.000,yes,0.120,1.120,speech_span
"Золотая Долина, Ресторан 11.m4a",stop_193.wav,0.768,0.768,no,0.000,0.768,format_only
"RED RABBIT, бар 9.m4a",stop_194.wav,1.109,1.000,yes,0.000,1.000,speech_span
"RED RABBIT, бар 17.m4a",stop_195.wav,0.683,0.683,no,0.000,0.683,format_only
"RED RABBIT, бар 18.m4a",stop_196.wav,0.939,0.939,no,0.000,0.939,format_only
Новосибирский государственный университет 127.m4a,stop_197.wav,0.768,0.768,no,0.000,0.768,format_only
Новосибирский государственный университет 39.m4a,stop_198.wav,1.536,1.000,yes,0.280,1.280,energy_window
"RED RABBIT, бар 8.m4a",stop_199.wav,0.939,0.939,no,0.000,0.939,format_only
Новосибирский государственный университет 26.m4a,stop_200.wav,1.792,1.000,yes,0.155,1.155,speech_span
улица Ильича 3.m4a,stop_201.wav,1.109,1.000,yes,0.000,1.000,speech_span
Новосибирский государственный университет 61.m4a,stop_202.wav,2.048,1.000,yes,0.570,1.570,energy_window
Золотая Долина 12.m4a,stop_203.wav,0.853,0.853,no,0.000,0.853,format_only
Новосибирский государственный университет 8.m4a,stop_204.wav,1.280,1.000,yes,0.000,1.000,speech_span
Золотая Долина 22.m4a,stop_205.wav,0.768,0.768,no,0.000,0.768,format_only
"Золотая Долина, Ресторан 13.m4a",stop_206.wav,1.877,1.000,yes,0.710,1.710,speech_span
"Золотая Долина, Ресторан 19.m4a",stop_207.wav,0.939,0.939,no,0.000,0.939,format_only
"Золотая Долина, Ресторан 3.m4a",stop_208.wav,1.365,1.000,yes,0.155,1.155,speech_span
Новосибирский государственный университет 80.m4a,stop_209.wav,0.768,0.768,no,0.000,0.768,format_only
"RED RABBIT, бар 16.m4a",stop_210.wav,0.853,0.853,no,0.000,0.853,format_only
Золотая Долина 16.m4a,stop_211.wav,0.853,0.853,no,0.000,0.853,format_only
Новосибирский государственный университет 50.m4a,stop_212.wav,0.768,0.768,no,0.000,0.768,format_only
